Standard Model;G2;G3;G2
"Zeitpunkt in s";"firel in deg";"firel in deg";"firel in deg"
0,155167;74,694618;59,973081;74,694618
0,156167;74,885761;60,101377;74,885761
0,157167;75,077134;60,229844;75,077134
0,158167;75,268729;60,358477;75,268729
0,159167;75,460541;60,487270;75,460541
0,160167;75,652562;60,616218;75,652562
0,161167;75,844786;60,745314;75,844786
0,162167;76,037207;60,874553;76,037207
0,163167;76,229817;61,003929;76,229817
0,164167;76,422611;61,133437;76,422611
0,165167;76,615582;61,263070;76,615582
0,166167;76,808724;61,392824;76,808724
0,167167;77,002029;61,522692;77,002029
0,168167;77,195491;61,652669;77,195491
0,169167;77,389104;61,782749;77,389104
0,170167;77,582862;61,912928;77,582862
0,171167;77,776757;62,043198;77,776757
0,172167;77,970784;62,173556;77,970784
0,173167;78,164936;62,303995;78,164936
0,174167;78,359207;62,434510;78,359207
0,175167;78,553590;62,565095;78,553590
0,176167;78,748079;62,695745;78,748079
0,177167;78,942667;62,826455;78,942667
0,178167;79,137349;62,957220;79,137349
0,179167;79,332117;63,088033;79,332117
0,180167;79,526966;63,218891;79,526966
0,181167;79,721889;63,349787;79,721889
0,182167;79,916879;63,480716;79,916879
0,183167;80,111932;63,611673;80,111932
0,184167;80,307040;63,742653;80,307040
0,185167;80,502197;63,873651;80,502197
0,186167;80,697397;64,004662;80,697397
0,187167;80,892633;64,135680;80,892633
0,188167;81,087901;64,266700;81,087901
0,189167;81,283192;64,397718;81,283192
0,190167;81,478502;64,528728;81,478502
0,191167;81,673823;64,659725;81,673823
0,192167;81,869151;64,790705;81,869151
0,193167;82,064478;64,921662;82,064478
0,194167;82,259799;65,052592;82,259799
0,195167;82,455108;65,183490;82,455108
0,196167;82,650399;65,314350;82,650399
0,197167;82,845665;65,445168;82,845665
0,198167;83,040900;65,575940;83,040900
0,199167;83,236100;65,706660;83,236100
0,200167;83,431257;65,837324;83,431257
0,201167;83,626365;65,967927;83,626365
0,202167;83,821420;66,098464;83,821420
0,203167;84,016414;66,228931;84,016414
0,204167;84,211342;66,359323;84,211342
0,205167;84,406198;66,489636;84,406198
0,206167;84,600977;66,619864;84,600977
0,207167;84,795672;66,750004;84,795672
0,208167;84,990278;66,880051;84,990278
0,209167;85,184788;67,010001;85,184788
0,210167;85,379197;67,139848;85,379197
0,211167;85,573500;67,269589;85,573500
