Standard Model;Bus 1
"Zeitpunkt in s";"Elektrische Frequenz in Hz"
0,315000;60,000000
0,316000;60,000000
0,317000;60,000000
0,318000;60,000000
0,319000;60,000000
0,320000;60,000000
0,321000;60,000000
0,322000;60,000000
0,323000;60,000000
0,324000;60,000000
0,325000;60,000000
0,326000;60,000000
0,327000;60,000000
0,328000;60,000000
0,329000;60,000000
0,330000;60,000000
0,331000;60,000000
0,332000;60,000000
0,333000;60,000000
0,334000;60,000000
0,335000;60,000000
0,336000;60,000000
0,337000;60,000000
0,338000;60,000000
0,339000;60,000000
0,340000;60,000000
0,341000;60,000000
0,342000;60,000000
0,343000;60,000000
0,344000;60,000000
0,345000;60,000000
0,346000;60,000000
0,347000;60,000000
0,348000;60,000000
0,349000;60,000000
0,350000;60,000000
0,351000;60,000000
0,352000;60,000000
0,353000;60,000000
0,354000;60,000000
0,355000;60,000000
0,356000;60,000000
0,357000;60,000000
0,358000;60,000000
0,359000;60,000000
0,360000;60,000000
0,361000;60,000000
0,362000;60,000000
0,363000;60,000000
0,364000;60,000000
0,365000;60,000000
0,366000;60,000000
0,367000;60,000000
0,368000;60,000000
0,369000;60,000000
0,370000;60,000000
0,371000;60,000000
0,372000;60,000000
0,373000;60,000000
0,374000;60,000000
0,375000;60,000000
0,376000;60,000000
0,377000;60,000000
0,378000;60,000000
0,379000;60,000000
0,380000;60,000000
0,381000;60,000000
0,382000;60,000000
0,383000;60,000000
0,384000;60,000000
0,385000;60,000000
0,386000;60,000000
0,387000;60,000000
0,388000;60,000000
0,389000;60,000000
0,390000;60,000000
0,391000;60,000000
0,392000;60,000000
0,393000;60,000000
0,394000;60,000000
0,395000;60,000000
0,396000;60,000000
0,397000;60,000000
0,398000;60,000000
0,399000;60,000000
0,400000;60,000000
0,401000;60,000000
0,402000;60,000000
0,403000;60,000000
0,404000;60,000000
0,405000;60,000000
0,406000;60,000000
0,407000;60,000000
0,408000;60,000000
0,409000;60,000000
0,410000;60,000000
0,411000;60,000000
0,412000;60,000000
0,413000;60,000000
0,414000;60,000000
0,415000;60,000000
0,416000;60,000000
0,417000;60,000000
0,418000;60,000000
0,419000;60,000000
0,420000;60,000000
0,421000;60,000000
0,422000;60,000000
0,423000;60,000000
0,424000;60,000000
0,425000;60,000000
0,426000;60,000000
0,427000;60,000000
0,428000;60,000000
0,429000;60,000000
0,430000;60,000000
0,431000;60,000000
0,432000;60,000000
0,433000;60,000000
0,434000;60,000000
0,435000;60,000000
0,436000;60,000000
0,437000;60,000000
0,438000;60,000000
0,439000;60,000000
0,440000;60,000000
0,441000;60,000000
0,442000;60,000000
0,443000;60,000000
0,444000;60,000000
0,445000;60,000000
0,446000;60,000000
0,447000;60,000000
0,448000;60,000000
