Classical Model;G2;G3
"Zeitpunkt in s";"firel in deg";"firel in deg"
0,101467;30,186792;18,831450
0,102467;30,407882;18,966552
0,103467;30,629390;19,101931
0,104467;30,851307;19,237583
0,105467;31,073623;19,373505
0,106467;31,296328;19,509692
0,107467;31,519413;19,646139
0,108467;31,742868;19,782843
0,109467;31,966684;19,919800
0,110467;32,190850;20,057005
0,111467;32,415357;20,194455
0,112467;32,640195;20,332145
0,113467;32,865355;20,470071
0,114467;33,090827;20,608228
0,115467;33,316602;20,746614
0,116467;33,542669;20,885224
0,117467;33,769020;21,024052
0,118467;33,995644;21,163097
0,119467;34,222532;21,302353
0,120467;34,449675;21,441816
0,121467;34,677063;21,581482
0,122467;34,904685;21,721348
0,123467;35,132534;21,861408
0,124467;35,360598;22,001659
0,125467;35,588870;22,142097
0,126467;35,817338;22,282718
0,127467;36,045994;22,423517
0,128467;36,274829;22,564491
0,129467;36,503832;22,705636
0,130467;36,732994;22,846946
0,131467;36,962307;22,988420
0,132467;37,191759;23,130051
0,133467;37,421343;23,271836
0,134467;37,651048;23,413772
0,135467;37,880866;23,555853
0,136467;38,110787;23,698077
0,137467;38,340801;23,840438
0,138467;38,570900;23,982934
0,139467;38,801074;24,125559
0,140467;39,031313;24,268310
0,141467;39,261610;24,411182
0,142467;39,491953;24,554173
0,143467;39,722335;24,697277
0,144467;39,952746;24,840490
0,145467;40,183177;24,983809
0,146467;40,413619;25,127230
0,147467;40,644063;25,270749
0,148467;40,874499;25,414360
0,149467;41,104919;25,558062
0,150467;41,335314;25,701849
0,151467;41,565674;25,845717
0,152467;41,795992;25,989663
0,153467;42,026257;26,133682
0,154467;42,256460;26,277771
0,155467;42,486595;26,421925
0,156467;42,716650;26,566141
0,157467;42,946618;26,710414
0,158467;43,176489;26,854741
0,159467;43,406256;26,999117
0,160467;43,635908;27,143539
0,161467;43,865439;27,288002
0,162467;44,094838;27,432503
0,163467;44,324097;27,577038
0,164467;44,553209;27,721602
0,165467;44,782163;27,866192
0,166467;45,010952;28,010804
0,167467;45,239568;28,155434
0,168467;45,468001;28,300077
0,169467;45,696243;28,444730
0,170467;45,924287;28,589390
0,171467;46,152123;28,734051
0,172467;46,379744;28,878711
0,173467;46,607141;29,023364
0,174467;46,834305;29,168008
0,175467;47,061230;29,312638
0,176467;47,287906;29,457251
0,177467;47,514325;29,601842
0,178467;47,740480;29,746407
0,179467;47,966361;29,890943
0,180467;48,191963;30,035446
0,181467;48,417275;30,179912
0,182467;48,642292;30,324337
0,183467;48,867003;30,468717
0,184467;49,091403;30,613048
0,185467;49,315482;30,757326
0,186467;49,539233;30,901548
0,187467;49,762649;31,045709
0,188467;49,985722;31,189806
0,189467;50,208444;31,333834
0,190467;50,430807;31,477791
0,191467;50,652804;31,621671
0,192467;50,874428;31,765472
0,193467;51,095671;31,909189
0,194467;51,316525;32,052819
0,195467;51,536983;32,196357
0,196467;51,757039;32,339800
0,197467;51,976683;32,483144
0,198467;52,195910;32,626385
0,199467;52,414712;32,769519
0,200467;52,633082;32,912543
0,201467;52,851013;33,055452
0,202467;53,068497;33,198244
0,203467;53,285527;33,340913
0,204467;53,502098;33,483457
0,205467;53,718201;33,625871
0,206467;53,933829;33,768151
0,207467;54,148977;33,910294
0,208467;54,363636;34,052297
0,209467;54,577801;34,194154
0,210467;54,791464;34,335863
0,211467;55,004619;34,477420
0,212467;55,217260;34,618821
0,213467;55,429378;34,760061
0,214467;55,640969;34,901138
0,215467;55,852026;35,042048
0,216467;56,062541;35,182786
0,217467;56,272509;35,323350
0,218467;56,481923;35,463735
0,219467;56,690777;35,603937
0,220467;56,899065;35,743953
0,221467;57,106780;35,883780
0,222467;57,313916;36,023413
0,223467;57,520468;36,162848
0,224467;57,726428;36,302082
0,225467;57,931791;36,441112
0,226467;58,136551;36,579933
0,227467;58,340702;36,718542
0,228467;58,544238;36,856935
0,229467;58,747153;36,995108
0,230467;58,949441;37,133059
0,231467;59,151097;37,270782
0,232467;59,352115;37,408274
0,233467;59,552488;37,545532
0,234467;59,752213;37,682552
0,235467;59,951281;37,819331
0,236467;60,149690;37,955864
0,237467;60,347432;38,092148
0,238467;60,544502;38,228179
0,239467;60,740895;38,363954
0,240467;60,936605;38,499469
0,241467;61,131628;38,634721
0,242467;61,325958;38,769705
0,243467;61,519589;38,904418
0,244467;61,712517;39,038857
0,245467;61,904736;39,173018
0,246467;62,096241;39,306897
0,247467;62,287028;39,440491
0,248467;62,477091;39,573795
0,249467;62,666424;39,706808
0,250467;62,855024;39,839524
0,251467;63,042886;39,971940
0,252467;63,230004;40,104053
0,253467;63,416374;40,235859
0,254467;63,601991;40,367355
0,255467;63,786850;40,498536
0,256467;63,970947;40,629400
0,257467;64,154277;40,759943
0,258467;64,336835;40,890161
0,259467;64,518618;41,020051
0,260467;64,699620;41,149609
0,261467;64,879837;41,278832
0,262467;65,059265;41,407716
0,263467;65,237899;41,536257
0,264467;65,415735;41,664453
0,265467;65,592769;41,792299
0,266467;65,768996;41,919792
0,267467;65,944413;42,046929
0,268467;66,119015;42,173706
0,269467;66,292799;42,300119
0,270467;66,465759;42,426166
0,271467;66,637893;42,551842
0,272467;66,809195;42,677144
0,273467;66,979663;42,802069
0,274467;67,149293;42,926613
0,275467;67,318080;43,050772
0,276467;67,486020;43,174544
0,277467;67,653111;43,297925
0,278467;67,819348;43,420911
0,279467;67,984727;43,543500
0,280467;68,149246;43,665686
0,281467;68,312900;43,787468
0,282467;68,475686;43,908842
0,283467;68,637600;44,029803
0,284467;68,798639;44,150350
0,285467;68,958799;44,270478
0,286467;69,118078;44,390184
0,287467;69,276471;44,509465
0,288467;69,433976;44,628317
0,289467;69,590588;44,746737
0,290467;69,746306;44,864721
0,291467;69,901126;44,982267
0,292467;70,055044;45,099371
0,293467;70,208057;45,216029
0,294467;70,360163;45,332238
0,295467;70,511359;45,447995
0,296467;70,661640;45,563296
0,297467;70,811005;45,678139
0,298467;70,959451;45,792519
0,299467;71,106974;45,906434
0,300467;71,253572;46,019880
0,301467;71,399242;46,132854
0,302467;71,543981;46,245352
0,303467;71,687787;46,357372
0,304467;71,830656;46,468910
0,305467;71,972586;46,579962
0,306467;72,113575;46,690526
0,307467;72,253620;46,800598
0,308467;72,392718;46,910175
0,309467;72,530867;47,019254
0,310467;72,668064;47,127831
0,311467;72,804307;47,235904
0,312467;72,939593;47,343468
0,313467;73,073921;47,450522
0,314467;73,207287;47,557060
0,315467;73,339689;47,663082
0,316467;73,471126;47,768582
0,317467;73,601595;47,873558
0,318467;73,731093;47,978007
0,319467;73,859619;48,081925
0,320467;73,987170;48,185310
0,321467;74,113744;48,288158
0,322467;74,239339;48,390467
0,323467;74,363954;48,492232
0,324467;74,487585;48,593450
0,325467;74,610232;48,694120
0,326467;74,731892;48,794237
0,327467;74,852563;48,893798
0,328467;74,972244;48,992800
0,329467;75,090931;49,091241
0,330467;75,208625;49,189117
0,331467;75,325323;49,286424
0,332467;75,441022;49,383161
0,333467;75,555722;49,479323
0,334467;75,669421;49,574907
0,335467;75,782116;49,669912
0,336467;75,893807;49,764333
0,337467;76,004492;49,858167
0,338467;76,114169;49,951412
0,339467;76,222836;50,044064
0,340467;76,330492;50,136121
0,341467;76,437136;50,227579
0,342467;76,542766;50,318435
0,343467;76,647381;50,408686
0,344467;76,750979;50,498330
0,345467;76,853558;50,587364
0,346467;76,955119;50,675783
0,347467;77,055658;50,763586
