t,V,θ,Eq,Ed,ψ1d,ψ2q,δ,ω,Id,Iq,Pg,Qg,dEq,dEd,dψ1d,dψ2q,dδ,dω,Efd,Vt,Vr,Vf,dEfd,dVt,dVr,dVf,Pm,Pv,Tm,dPm,dPv
0.0,1.049299955367694,0.09826297924175435,1.0411233296232214,0.48413171560946616,0.8819274006616279,-0.6631027151449365,0.8690549330065459,1.0,0.7209960356170683,0.3791758493072175,6.499999999995635,2.124118260954741,-8.701431534186316e-14,-1.039191362434783e-12,-2.3688611345614844e-12,1.0970469649712193e-11,-3.800322822763955e-14,6.751009895890168e-14,2.217788902208358,1.049299955368042,-0.0929253550025302,0.0,-8.963452052081646e-14,-2.338815415950441e-11,3.090207907062666e-11,-4.5959352371373756e-15,0.8125000000000415,0.8125000000000415,0.8125000000000419,1.0669012582544636e-15,3.4427061375728306e-15
0.001,1.049299955367709,0.09826297924174271,1.0411233296232214,0.4841317156094653,0.8819274006616253,-0.6631027151449251,0.8690549330065459,1.0,0.7209960356170826,0.3791758493072492,6.499999999996041,2.124118260954555,-8.459834408399897e-14,-8.674407582155756e-13,-2.5411143450460674e-12,1.1322427983872893e-11,-2.0794228654209595e-15,6.16679953739665e-14,2.217788902208358,1.0492999553680118,-0.092925355002523,9.257946100999388e-19,1.5311218551652837e-14,-3.029103936071857e-11,7.205060987887241e-12,9.257946100999388e-16,0.8125000000000415,0.8125000000000415,0.8125000000000415,7.26568762040635e-17,2.4008937691871526e-16
0.002,1.0492999553677032,0.09826297924174991,1.0411233296232214,0.48413171560946433,0.8819274006616229,-0.663102715144914,0.8690549330065459,1.0,0.7209960356170761,0.3791758493072444,6.499999999995922,2.1241182609545795,-8.46457014244206e-14,-9.17684886290412e-13,-2.4636802966531202e-12,1.1097550861873369e-11,5.702912047194836e-16,6.335074386244411e-14,2.217788902208358,1.0492999553679838,-0.09292535500250948,3.584595989165252e-18,4.398476278918495e-14,-2.8077947693000236e-11,1.3520404817804969e-11,2.658801379065313e-15,0.8125000000000415,0.8125000000000415,0.8125000000000415,-2.3924247384438375e-17,-6.669636804916896e-17
0.004,1.049299955367699,0.09826297924175642,1.0411233296232212,0.4841317156094624,0.8819274006616181,-0.6631027151448923,0.869054933006546,1.0000000000000002,0.720996035617076,0.37917584930724646,6.499999999995902,2.1241182609545826,-8.485190392128703e-14,-1.0222812569213975e-12,-2.3232514887610137e-12,1.0684402931532866e-11,7.25802167385512e-14,6.696484021335312e-14,2.217788902208358,1.0492999553679323,-0.09292535500246926,1.5150411296916966e-17,1.28726632160514e-13,-2.399546905674014e-11,2.4990722306906676e-11,7.778212483522473e-15,0.8125000000000415,0.8125000000000415,0.8125000000000411,-2.250894324472911e-15,-7.694619361138175e-15
0.008,1.0492999553676696,0.09826297924178945,1.0411233296232207,0.4841317156094576,0.8819274006616098,-0.6631027151448529,0.8690549330065468,1.0000000000000004,0.7209960356170478,0.37917584930722004,6.499999999995322,2.124118260954735,-8.489961655225548e-14,-1.1824893692293616e-12,-2.089270067403819e-12,9.86565524143908e-12,1.7619114087104012e-13,7.201151424879678e-14,2.2177889022083597,1.0492999553678573,-0.0929253550023256,1.199485624105292e-16,4.3454340363794087e-13,-1.87601984145181e-11,3.591091965038375e-11,2.6199537778403055e-14,0.8125000000000415,0.8125000000000415,0.8125000000000412,-5.45623840809773e-15,-1.8699869164016817e-14
0.016,1.049299955367637,0.09826297924183065,1.04112332962322,0.4841317156094463,0.8819274006615961,-0.663102715144786,0.8690549330065502,1.000000000000001,0.7209960356170199,0.3791758493072153,6.499999999994846,2.1241182609547735,-8.42933233787955e-14,-1.4219823451450354e-12,-1.7055828952234465e-12,8.347156253654072e-12,4.3624620099013965e-13,7.880797983161364e-14,2.217788902208369,1.0492999553677593,-0.09292535500198118,6.803556886428411e-16,1.1666281909724856e-12,-1.2235455106932098e-11,4.3052144517775617e-11,7.005089077903899e-14,0.8125000000000414,0.8125000000000411,0.8125000000000405,-1.3381061354973604e-14,-4.5707577429411274e-14
0.026000000000000002,1.0492999553676048,0.098262979241874,1.0411233296232192,0.4841317156094302,0.8819274006615825,-0.6631027151447173,0.8690549330065575,1.000000000000002,0.720996035616994,0.3791758493072241,6.499999999994472,2.1241182609547353,-8.280124182978837e-14,-1.609605359388014e-12,-1.3668840215597276e-12,6.881180526644105e-12,7.308298684655715e-13,8.384975038931261e-14,2.2177889022083885,1.0492999553676812,-0.09292535500155791,1.8579267972461083e-15,1.9683029199729824e-12,-7.825303762843501e-12,4.23279922447134e-11,1.1775711086032673e-13,0.8125000000000412,0.8125000000000403,0.8125000000000395,-2.2183910196110073e-14,-7.568759571897502e-14
0.036000000000000004,1.0492999553675808,0.0982629792419119,1.0411233296232183,0.48413171560941287,0.8819274006615717,-0.6631027151446621,0.869054933006568,1.0000000000000029,0.7209960356169739,0.37917584930724363,6.499999999994264,2.1241182609546287,-7.983138086171909e-14,-1.7338849907595475e-12,-1.076666980827216e-12,5.521006918203541e-12,1.0554625109669595e-12,8.693232687894536e-14,2.217788902208416,1.0492999553676303,-0.09292535500119392,3.499727329864425e-15,2.756301550857471e-12,-5.1018946699424655e-12,3.6396890035657236e-11,1.641800532618317e-13,0.8125000000000409,0.8125000000000392,0.8125000000000385,-3.169958073735679e-14,-1.0796101959444177e-13
0.046000000000000006,1.0492999553675613,0.09826297924194695,1.0411233296232174,0.4841317156093949,0.8819274006615632,-0.6631027151446175,0.8690549330065819,1.0000000000000038,0.7209960356169597,0.3791758493072626,6.499999999994132,2.124118260954532,-7.589047684892991e-14,-1.8010955553484322e-12,-8.541025918534137e-13,4.461510340960667e-12,1.385816170951993e-12,8.885096029586607e-14,2.2177889022084503,1.0492999553675952,-0.0929253550008978,5.519428539775273e-15,3.4070186194235253e-12,-3.475379703174438e-12,2.96117055083031e-11,2.0197012099108483e-13,0.8125000000000404,0.8125000000000377,0.8125000000000373,-4.1235596087518116e-14,-1.4018904849382498e-13
0.05600000000000001,1.0492999553675446,0.09826297924198173,1.041123329623217,0.4841317156093767,0.881927400661556,-0.663102715144579,0.8690549330065982,1.0000000000000047,0.7209960356169478,0.379175849307283,6.499999999994042,2.124118260954427,-7.089597531906463e-14,-1.832643289656558e-12,-6.552574437697265e-13,3.545379046041405e-12,1.7426932691037185e-12,9.009510745356034e-14,2.2177889022084885,1.049299955367568,-0.09292535500064691,7.757658197409376e-15,3.981402060107294e-12,-2.342039676258609e-12,2.2828756135588964e-11,2.3474938814957304e-13,0.8125000000000399,0.8125000000000361,0.8125000000000361,-5.125522467687791e-14,-1.7393362997176894e-13
